seq.hist,n.points
-270,0.666666666666667
-260,0.666666666666667
-240,1.33333333333333
-230,3
-220,2.66666666666667
-210,2
-200,3.66666666666667
-190,4.66666666666667
-180,9.66666666666667
-170,9.66666666666667
-160,11.3333333333333
-150,19
-140,33
-130,47.3333333333334
-120,71.6666666666666
-110,107.666666666667
-100,183
-90,277.333333333333
-80,478.666666666666
-70,912.333333333336
-60,1775.33333333333
-50,3901.00000000003
-40,10042.6666666669
-30,33117.3333333329
-20,163368.000000001
-10,2097385
0,39174488.6666666
10,10632529
20,3199109.66666666
30,1255239.66666667
40,578177.666666668
50,281810.999999999
60,146312.333333334
70,83996.0000000004
80,50080.9999999997
90,32002
100,20287.0000000001
110,13309.3333333336
120,9268.99999999985
130,6485.66666666647
140,4784.66666666672
150,3442.66666666679
160,2523.66666666668
170,1950.33333333328
180,1469.99999999997
190,1165.00000000001
200,873.333333333349
210,701.666666666678
220,569.999999999998
230,455.999999999996
240,374.666666666664
250,259.666666666668
260,224.666666666668
270,192.000000000001
280,173.666666666667
290,132.666666666666
300,116
310,90.6666666666665
320,71.6666666666666
330,66.6666666666668
340,54.0000000000001
350,52.3333333333334
360,38.6666666666667
370,38.3333333333334
380,33
390,23.3333333333333
400,17.3333333333333
410,16.3333333333333
420,16.3333333333333
430,14
440,15
450,8
460,8
470,7
480,4.66666666666667
490,5
500,5
510,5
520,3.66666666666667
530,2.66666666666667
540,2.33333333333333
550,1.66666666666667
560,2.33333333333333
570,1
580,1.66666666666667
600,1.33333333333333
610,1
620,0.666666666666667
640,1.33333333333333
650,0.333333333333333
660,1
670,0.666666666666667
680,0.333333333333333
700,0.666666666666667
710,1
720,0.333333333333333
730,0.333333333333333
740,0.666666666666667
750,0.333333333333333
770,0.333333333333333
810,0.333333333333333
840,0.333333333333333
