"generation","sample.size","C34","C36","C38"
1,9,0.115333333333333,0.107777777777778,0.0946666666666667
2,9,0.110444444444444,0.102,0.102
3,9,0.113555555555556,0.104555555555556,0.0975555555555556
4,9,0.103777777777778,0.0912222222222222,0.096
5,9,0.113777777777778,0.0976666666666667,0.0943333333333333
6,9,0.103111111111111,0.101,0.0924444444444444
7,9,0.108333333333333,0.100333333333333,0.0876666666666667
8,9,0.110222222222222,0.100888888888889,0.102666666666667
9,9,0.104777777777778,0.100111111111111,0.0926666666666667
10,9,0.107555555555556,0.0986666666666667,0.087
11,9,0.107,0.0978888888888889,0.0996666666666667
12,9,0.110666666666667,0.0987777777777778,0.0995555555555555
13,9,0.108777777777778,0.09,0.0943333333333333
14,9,0.107666666666667,0.0971111111111111,0.0972222222222222
15,9,0.113666666666667,0.101111111111111,0.0911111111111111
16,9,0.108,0.100555555555556,0.0937777777777778
17,9,0.109111111111111,0.0967777777777778,0.0903333333333333
18,9,0.106333333333333,0.0954444444444444,0.0932222222222222
19,9,0.109888888888889,0.101333333333333,0.0964444444444444
20,9,0.108777777777778,0.106444444444444,0.0996666666666667
21,9,0.105888888888889,0.106,0.0945555555555556
22,9,0.107666666666667,0.103222222222222,0.0953333333333333
23,9,0.109,0.0992222222222222,0.0915555555555556
24,9,0.111333333333333,0.0952222222222222,0.0931111111111111
25,9,0.108888888888889,0.106777777777778,0.0987777777777778
26,9,0.100444444444444,0.101666666666667,0.0928888888888889
27,9,0.106444444444444,0.103777777777778,0.092
28,9,0.115333333333333,0.0996666666666667,0.0898888888888889
29,9,0.116111111111111,0.104444444444444,0.0953333333333333
30,9,0.101111111111111,0.0975555555555556,0.098
31,9,0.108555555555556,0.100555555555556,0.0891111111111111
32,9,0.109333333333333,0.098,0.100666666666667
33,9,0.108111111111111,0.108444444444444,0.0965555555555556
34,9,0.103222222222222,0.107777777777778,0.100777777777778
35,9,0.112222222222222,0.102555555555556,0.0938888888888889
36,9,0.114333333333333,0.0996666666666667,0.0907777777777778
37,9,0.113555555555556,0.1,0.0958888888888889
38,9,0.105555555555556,0.104,0.0953333333333333
39,9,0.107888888888889,0.108666666666667,0.0956666666666667
40,9,0.103,0.100777777777778,0.0874444444444444
41,9,0.109555555555556,0.100222222222222,0.100555555555556
42,9,0.108222222222222,0.0973333333333333,0.0953333333333333
43,9,0.110888888888889,0.105444444444444,0.101555555555556
44,9,0.107888888888889,0.0941111111111111,0.0848888888888889
45,9,0.105111111111111,0.100111111111111,0.0937777777777778
46,9,0.106777777777778,0.102888888888889,0.0943333333333333
47,9,0.113666666666667,0.0992222222222222,0.0962222222222222
48,9,0.108888888888889,0.100222222222222,0.0938888888888889
49,9,0.105111111111111,0.100333333333333,0.0925555555555556
50,9,0.109888888888889,0.107444444444444,0.104666666666667
51,9,0.107777777777778,0.104,0.0991111111111111
52,9,0.108444444444444,0.109111111111111,0.0885555555555556
53,9,0.106333333333333,0.0996666666666667,0.0948888888888889
54,9,0.101555555555556,0.0995555555555555,0.0918888888888889
55,9,0.105555555555556,0.101777777777778,0.0954444444444444
56,9,0.114333333333333,0.105666666666667,0.0966666666666667
57,9,0.113777777777778,0.0974444444444444,0.0898888888888889
58,9,0.110777777777778,0.0987777777777778,0.0932222222222222
59,9,0.106555555555556,0.0956666666666667,0.0898888888888889
60,9,0.109555555555556,0.107222222222222,0.0951111111111111
61,9,0.117444444444444,0.101555555555556,0.100888888888889
62,9,0.119,0.0998888888888889,0.094
63,9,0.113222222222222,0.102444444444444,0.0974444444444444
64,9,0.104333333333333,0.0937777777777778,0.092
65,9,0.106555555555556,0.098,0.0971111111111111
66,9,0.105444444444444,0.100111111111111,0.0921111111111111
67,9,0.105111111111111,0.0947777777777778,0.0925555555555556
68,9,0.108888888888889,0.102555555555556,0.0948888888888889
69,9,0.108111111111111,0.104555555555556,0.0907777777777778
70,9,0.108777777777778,0.0987777777777778,0.0904444444444444
71,9,0.113555555555556,0.0938888888888889,0.0916666666666667
72,9,0.112111111111111,0.104777777777778,0.0977777777777778
73,9,0.110555555555556,0.103666666666667,0.0982222222222222
74,9,0.112444444444444,0.101777777777778,0.0922222222222222
75,9,0.109222222222222,0.0998888888888889,0.0926666666666667
76,9,0.108222222222222,0.103666666666667,0.0934444444444444
77,9,0.111,0.101222222222222,0.092
78,9,0.110111111111111,0.0972222222222222,0.0931111111111111
79,9,0.108666666666667,0.0991111111111111,0.088
80,9,0.112,0.108777777777778,0.0926666666666667
81,9,0.113555555555556,0.0955555555555556,0.0866666666666667
82,9,0.105888888888889,0.100888888888889,0.0973333333333333
83,9,0.115555555555556,0.106555555555556,0.0963333333333333
84,9,0.112666666666667,0.101888888888889,0.087
85,9,0.113222222222222,0.0964444444444444,0.0928888888888889
86,9,0.113333333333333,0.102777777777778,0.101
87,9,0.102666666666667,0.104777777777778,0.0931111111111111
88,9,0.107777777777778,0.0998888888888889,0.0936666666666667
89,9,0.104333333333333,0.0983333333333333,0.095
90,9,0.111444444444444,0.101888888888889,0.0956666666666667
91,9,0.110111111111111,0.0993333333333333,0.0932222222222222
92,9,0.108444444444444,0.106444444444444,0.098
93,9,0.110444444444444,0.0947777777777778,0.098
94,9,0.110777777777778,0.105444444444444,0.0951111111111111
95,9,0.111111111111111,0.0988888888888889,0.0983333333333333
96,9,0.106555555555556,0.0955555555555556,0.0921111111111111
97,9,0.118777777777778,0.102222222222222,0.0906666666666667
98,9,0.112111111111111,0.101555555555556,0.0866666666666667
99,9,0.105888888888889,0.101555555555556,0.0965555555555556
100,9,0.108333333333333,0.100777777777778,0.0963333333333333
