"number.of.bins","bin.with.5.points","bin.with.10.points","bin.with.15.points","bin.with.30.points","bin.with.50.points","bin.with.100.points"
3,0.3646699669967,0.347667566756676,0.344406540654065,0.339327632763276,0.336433843384338,0.334241524152415
4,0.2661176,0.2594772,0.254864,0.2519268,0.2510228,0.2507944
5,0.2053515,0.2023355,0.2017275,0.202661,0.2010425,0.1991905
6,0.172319727891156,0.169406162464986,0.168959583833533,0.167315526210484,0.166466786714686,0.166161264505802
7,0.144714985994398,0.142656162464986,0.144348739495798,0.143769607843137,0.142635854341737,0.14275350140056
8,0.1298472,0.1254296,0.1254328,0.1255728,0.1244952,0.1244784
9,0.108431543154315,0.111497249724972,0.110562056205621,0.110101210121012,0.111243424342434,0.111021102110211
10,0.098952,0.099588,0.09799,0.100054,0.100357,0.100088
12,0.0803417366946779,0.0843489395758303,0.0828483393357343,0.0840668267306923,0.0823021208483393,0.0828051220488195
14,0.0724635854341737,0.0709831932773109,0.0711190476190476,0.072312324929972,0.0713403361344538,0.0716162464985994
16,0.0600168,0.0638424,0.0621016,0.0616824,0.06234,0.0625672
18,0.05256996996997,0.0538762762762763,0.0563429429429429,0.0556564564564565,0.0560546546546547,0.0554258258258258
20,0.045286,0.049144,0.0491,0.049726,0.049688,0.05033
25,0.0411625,0.03882,0.0395,0.039275,0.039855,0.039795
30,0.0322372372372372,0.0328258258258258,0.0337327327327327,0.0339249249249249,0.0335165165165165,0.032996996996997
35,0.0299398496240601,0.027981954887218,0.027922305764411,0.0283012531328321,0.0284802005012531,0.028483709273183
40,0.024004,0.024236,0.024376,0.024976,0.024864,0.025008
45,0.021460960960961,0.0228393393393393,0.022006006006006,0.0225375375375375,0.0217852852852853,0.0222132132132132
50,0.020095,0.01971,0.020375,0.020035,0.0196,0.019955
60,0.0159558232931727,0.0164196787148594,0.016781124497992,0.0165943775100402,0.0164076305220884,0.0170823293172691
70,0.0124547283702213,0.0146519114688129,0.0138983903420523,0.0146941649899396,0.0142505030181087,0.0138772635814889
80,0.011116,0.01286,0.012956,0.011668,0.01246,0.012772
90,0.00950750750750751,0.0114084084084084,0.0107327327327327,0.0112192192192192,0.0110840840840841,0.0108588588588589
100,0.01045,0.00908,0.00968,0.01008,0.01047,0.01027
